nazev,okres,obyvatel
Kladno,Kladno,68436
Mladá Boleslav,Mladá Boleslav,45000
Kolín,Kolín,33289
Příbram,Příbram,32743
Kutná Hora,Kutná Hora,21417
Beroun,Beroun,20809
Mělník,Mělník,20202
Brandýs nad Labem-Stará Boleslav,Praha-východ,19767
Kralupy nad Vltavou,Mělník,18770
Benešov,Benešov,16875
Říčany,Praha-východ,16775
Slaný,Kladno,16557
Neratovice,Mělník,16220
Rakovník,Rakovník,15574
Nymburk,Nymburk,15424
Poděbrady,Nymburk,14902
Milovice,Nymburk,13634
Čelákovice,Praha-východ,12444
Vlašim,Benešov,11438
Čáslav,Kutná Hora,10468
Králův Dvůr,Beroun,10428
Jesenice,Praha-západ,10169
Lysá nad Labem,Nymburk,10047
Hostivice,Praha-západ,9123
Roztoky,Praha-západ,8971
Mnichovo Hradiště,Mladá Boleslav,8949
Dobříš,Příbram,8831
Benátky nad Jizerou,Mladá Boleslav,7786
Hořovice,Beroun,7581
Černošice,Praha-západ,7570
Úvaly,Praha-východ,7404
Český Brod,Kolín,7361
Sedlčany,Příbram,6833
Odolena Voda,Praha-východ,6344
Mníšek pod Brdy,Praha-západ,6250
Týnec nad Sázavou,Benešov,5731
Nové Strašecí,Rakovník,5696
Stochov,Kladno,5341
Rudná,Praha-západ,5290
Bakov nad Jizerou,Mladá Boleslav,5202
Jílové u Prahy,Praha-západ,5165
Kosmonosy,Mladá Boleslav,5059
Unhošť,Kladno,5013
