ctvrt,"1+kk, 1+1","2+kk, 2+1","3+kk, 3+1","4+kk, 4+1"
Benice,439.0,359.0,314.0,354.0
Bohnice,413.0,372.0,371.0,289.0
Braník,416.0,348.0,328.0,318.0
Bubeneč,430.0,383.0,354.0,324.0
Běchovice,337.0,337.0,289.0,303.0
Břevnov,404.0,360.0,323.0,307.0
Březiněves,359.0,310.0,312.0,321.0
Chodov,412.0,360.0,325.0,318.0
Cholupice,437.0,335.0,285.0,310.0
Dejvice,415.0,367.0,344.0,348.0
Dolní Chabry,453.0,386.0,316.0,290.0
Dolní Měcholupy,447.0,394.0,306.0,368.0
Dolní Počernice,329.0,326.0,311.0,308.0
Dubeč,423.0,336.0,267.0,278.0
Hloubětín,437.0,363.0,329.0,348.0
Hlubočepy,433.0,369.0,338.0,338.0
Hodkovičky,412.0,361.0,327.0,334.0
Holešovice,465.0,382.0,359.0,342.0
Holyně,445.0,337.0,329.0,337.0
Horní Měcholupy,450.0,395.0,333.0,341.0
Horní Počernice,371.0,335.0,288.0,261.0
Hostavice,350.0,374.0,304.0,294.0
Hostivař,414.0,361.0,326.0,311.0
Hradčany,556.0,403.0,408.0,408.0
Hrdlořezy,425.0,328.0,242.0,239.0
Háje,454.0,368.0,340.0,330.0
Hájek u Uhříněvsi,469.0,355.0,276.0,298.0
Jinonice,442.0,398.0,340.0,353.0
Josefov,618.0,432.0,403.0,358.0
Kamýk,425.0,354.0,327.0,347.0
Karlín,501.0,406.0,388.0,367.0
Kbely,390.0,333.0,311.0,290.0
Klánovice,306.0,314.0,307.0,288.0
Kobylisy,418.0,374.0,327.0,301.0
Koloděje,382.0,310.0,267.0,268.0
Kolovraty,396.0,340.0,292.0,262.0
Komořany,346.0,301.0,299.0,316.0
Košíře,405.0,357.0,335.0,315.0
Královice,456.0,341.0,268.0,304.0
Krč,435.0,372.0,344.0,322.0
Kunratice,411.0,315.0,285.0,276.0
Kyje,430.0,383.0,336.0,310.0
Křeslice,379.0,333.0,343.0,353.0
Lahovice,397.0,354.0,349.0,325.0
Letňany,436.0,371.0,326.0,322.0
Lhotka,385.0,350.0,311.0,304.0
Libeň,413.0,352.0,308.0,303.0
Liboc,380.0,344.0,325.0,288.0
Libuš,414.0,360.0,326.0,341.0
Lipany,407.0,335.0,286.0,297.0
Lipence,398.0,336.0,327.0,292.0
Lochkov,386.0,348.0,333.0,274.0
Lysolaje,394.0,324.0,291.0,289.0
Malešice,447.0,374.0,325.0,265.0
Malá Chuchle,389.0,298.0,298.0,310.0
Malá Strana,486.0,427.0,420.0,363.0
Michle,421.0,352.0,314.0,294.0
Miškovice,391.0,344.0,306.0,330.0
Modřany,419.0,356.0,302.0,309.0
Motol,439.0,349.0,320.0,344.0
Nebušice,395.0,359.0,330.0,328.0
Nedvězí u Říčan,390.0,318.0,256.0,270.0
Nové Město,492.0,411.0,364.0,340.0
Nusle,413.0,357.0,329.0,312.0
Petrovice,395.0,272.0,353.0,326.0
Pitkovice,387.0,354.0,341.0,355.0
Podolí,415.0,355.0,316.0,315.0
Prosek,429.0,357.0,315.0,298.0
Písnice,392.0,369.0,242.0,238.0
Přední Kopanina,366.0,303.0,306.0,279.0
Radlice,461.0,372.0,300.0,318.0
Radotín,378.0,325.0,318.0,348.0
Ruzyně,359.0,326.0,295.0,348.0
Satalice,384.0,335.0,286.0,323.0
Sedlec,361.0,326.0,297.0,311.0
Slivenec,398.0,391.0,417.0,311.0
Smíchov,427.0,369.0,330.0,323.0
Sobín,431.0,377.0,348.0,373.0
Staré Město,542.0,434.0,388.0,369.0
Stodůlky,436.0,364.0,348.0,361.0
Strašnice,407.0,350.0,324.0,300.0
Střešovice,428.0,353.0,302.0,304.0
Střížkov,457.0,386.0,345.0,352.0
Suchdol,424.0,344.0,290.0,319.0
Točná,359.0,315.0,271.0,323.0
Troja,438.0,366.0,341.0,364.0
Třebonice,430.0,358.0,414.0,431.0
Třeboradice,393.0,303.0,378.0,334.0
Uhříněves,424.0,342.0,296.0,312.0
Veleslavín,328.0,359.0,339.0,380.0
Velká Chuchle,431.0,310.0,297.0,306.0
Vinohrady,458.0,393.0,358.0,347.0
Vinoř,350.0,346.0,307.0,319.0
Vokovice,410.0,369.0,322.0,311.0
Vršovice,435.0,377.0,353.0,330.0
Vysočany,445.0,373.0,358.0,343.0
Vyšehrad,470.0,393.0,365.0,385.0
Zadní Kopanina,372.0,323.0,300.0,285.0
Zbraslav,382.0,329.0,318.0,316.0
Zličín,442.0,392.0,348.0,374.0
Záběhlice,398.0,330.0,303.0,323.0
Újezd nad Lesy,356.0,335.0,282.0,269.0
Újezd u Průhonic,399.0,345.0,324.0,317.0
Čakovice,364.0,343.0,318.0,320.0
Černý Most,458.0,387.0,321.0,363.0
Čimice,382.0,349.0,309.0,277.0
Ďáblice,376.0,366.0,353.0,354.0
Řeporyje,400.0,360.0,323.0,388.0
Řepy,429.0,360.0,330.0,308.0
Šeberov,392.0,335.0,296.0,285.0
Štěrboholy,382.0,367.0,380.0,345.0
Žižkov,436.0,374.0,340.0,342.0
